School name,Region,District,Adress,Number students,Number teachers,Student teacher ratio,2010 - Type,2010 Cost,2011 Type,2011 Cost,2012 Type,2012 Cost,2013 Type,2013 Cost,2014 Type,2014 Cost
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ ზემო თხილნარის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. თხილნარი,102,23,4.43,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ ზემო წინსვლის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. წინსვლა,110,21,5.24,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ თხილნარის №2 საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. თხილნარი,169,24,7.04,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 125,451.00 ""]",რეაბილიტაცია,"["" თანხა "", ""4,926.30""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ კაპრეშუმის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. კაპრეშუმი,98,22,4.45,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ კირნათის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. კირნათი,143,36,3.97,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ მარადიდის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. მარადისი,79,22,3.59,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ მახოს საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. მახო,255,41,6.22,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ სალიბაურის №1 საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. სალიბაური,269,23,11.7,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 40,117.00 ""]",მომავლის კლასი,"["" თანხა "", ""29,128.60""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 26,431.35 ""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 26,431.35 ""]"
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ სალიბაურის №2 საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. სალიბაური,271,27,10.04,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 125,451.00 ""]",რეაბილიტაცია,"["" თანხა "", ""4,926.30""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ სარფის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. სარფი,147,26,5.65,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ ფერიის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. ფერია,386,31,12.45,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ ქედქედის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. ქედქედი,99,22,4.5,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ ქვემო ახალშენის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. ახალშენი,247,32,7.72,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 31,038.15 ""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 31,038.15 ""]"
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ ქვემო მახოს საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. ქვედა  მახო,59,12,4.92,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ ყოროლისთავის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. ყოროლისთავი,121,26,4.65,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ ჩაისუბნის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. ჩაისუბანი,178,30,5.93,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",გაზმომარაგების სამუშაოები,"["" ხელშეკრულების თანხა "", "" 4,335.00        ""]",გაზმომარაგების სამუშაოები,"["" ხელშეკრულების თანხა "", "" 4,335.00        ""]"
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ ჩიქუნეთის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. ჩიქუნეთი,75,23,3.26,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ ჩხუტუნეთის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. ჩხუტუნეთი,99,25,3.96,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ წინსვლის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. წინსვლა,264,31,8.52,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ ჭარნალის საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. ჭარნალი,401,45,8.91,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 37,422.78 ""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 37,422.78 ""]"
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ ხელვაჩაურის №1 საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. ხელვაჩაური,689,70,9.84,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 40,117.00 ""]",მომავლის კლასი,"["" თანხა "", ""29,128.60""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 26,431.35 ""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 26,431.35 ""]"
სსიპ - ხელვაჩაურის მუნიციპალიტეტის სოფელ ჯოჭოს საჯარო სკოლა,აჭარა,ხელვაჩაური,სოფ. ჯოჭო,90,21,4.29,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
"შპს  ,,მახინჯაურის ლიცეუმი""",აჭარა,ხელვაჩაური,მახინჯაური,177,15,11.8,,,,,,,,,,
სსიპ - ასლან შაინიძის სახელობის ხულოს მუნიციპალიტეტის სოფელ წაბლანის საჯარო სკოლა,აჭარა,ხულო,სოფელი წაბლანა,141,21,6.71,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - დაბა ხულოს საჯარო სკოლა,აჭარა,ხულო,დაბა ხულო მ.შავაძის ქ. №3,305,35,8.71,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - დიმიტრი ხოზრევანიძის სახელობის ხულოს მუნიციპალიტეტის სოფელ კვატიის საჯარო სკოლა,აჭარა,ხულო,სოფელი კვატია,79,21,3.76,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - თამარ ბარათაშვილის სახელობის ხულოს მუნიციპალიტეტის სოფელ რაქვთის საჯარო სკოლა,აჭარა,ხულო,სოფელი რაქვთა,65,17,3.82,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - მერაბ ჭელიძის სახელობის ხულოს მუნიციპალიტეტის სოფელ ირემაძეების საჯარო სკოლა,აჭარა,ხულო,სოფელი ირემაძეები,97,21,4.62,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ნადიმ ართმელაძის სახელობის ხულოს მუნიციპალიტეტის სოფელ ბეღლეთის საჯარო სკოლა,აჭარა,ხულო,სოფელი ბეღლეთი,121,24,5.04,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - რუსლან მელაძის სახელობის ხულოს მუნიციპალიტეტის სოფელ ქვემო ვაშლოვანის საჯარო სკოლა,აჭარა,ხულო,სოფელი ქვემო ვაშლოვანი,146,24,6.08,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - სელიმ ხიმშიაშვილის სახელობის ხულოს მუნიციპალიტეტის სოფელ ბაკოს საჯარო სკოლა,აჭარა,ხულო,სოფელი ბაკო,31,13,2.38,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - შერიფ ხიმშიაშვილის სახელობის ხულოს მუნიციპალიტეტის სოფელ მთისუბნის საჯარო სკოლა,აჭარა,ხულო,სოფელი მთისუბანი,29,9,3.22,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ აგარის საჯარო სკოლა,აჭარა,ხულო,სოფელი აგარა,83,17,4.88,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ბოძაურის საჯარო სკოლა,აჭარა,ხულო,სოფელი ბოძაური,102,17,6.0,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ განახლების საჯარო სკოლა,აჭარა,ხულო,სოფელი განახლება,44,18,2.44,,,რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 23,476.00 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ გელაურის საჯარო სკოლა,აჭარა,ხულო,სოფელი გელაურა,17,12,1.42,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ გელაძეების საჯარო სკოლა,აჭარა,ხულო,სოფელი გელაძეები,27,9,3.0,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ გორგაძეების საჯარო სკოლა,აჭარა,ხულო,სოფელი გორგაძეები,47,12,3.92,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ დანისპარაულის საჯარო სკოლა,აჭარა,ხულო,სოფელი დანისპარაული,85,19,4.47,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ დიაკონიძეების საჯარო სკოლა,აჭარა,ხულო,სოფელი დიაკონიძეები,28,14,2.0,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ დიდაჭარის საჯარო სკოლა,აჭარა,ხულო,სოფელი დიდაჭარა,148,23,6.43,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ დიდი რიყეთის საჯარო სკოლა,აჭარა,ხულო,სოფელი დიდი რიყეთი,34,13,2.62,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ დიოკნისის საჯარო სკოლა,აჭარა,ხულო,სოფელი დიოკნისი,78,21,3.71,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ვერნების საჯარო სკოლა,აჭარა,ხულო,სოფელი ვერნები,100,21,4.76,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ზემო ვაშლოვანის საჯარო სკოლა,აჭარა,ხულო,სოფელი ზემო ვაშლოვანი,111,28,3.96,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ თაგოს საჯარო სკოლა,აჭარა,ხულო,სოფელი თაგო,28,16,1.75,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ თხილვანის საჯარო სკოლა,აჭარა,ხულო,სოფელი თხილვანა,76,15,5.07,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ კალოთის საჯარო სკოლა,აჭარა,ხულო,სოფელი კალოთა,29,14,2.07,რეაბილიტაცია (აღმ),"[""სახელშეკრულებო თანხა"", "" 7,531.20 ""]",,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ კორტოხის საჯარო სკოლა,აჭარა,ხულო,სოფელი კორტოხი,103,22,4.68,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ მანიაკეთის საჯარო სკოლა,აჭარა,ხულო,სოფელი მანიაკეთი,53,17,3.12,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", ""115958.32""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", ""115958.32""]"
სსიპ - ხულოს მუნიციპალიტეტის სოფელ მეკეიძეების საჯარო სკოლა,აჭარა,ხულო,სოფელი მეკეიძეები,101,17,5.94,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ოქრუაშვილების საჯარო სკოლა,აჭარა,ხულო,სოფელი ოქრუაშვილები,140,25,5.6,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ პანტნარის საჯარო სკოლა,აჭარა,ხულო,სოფელი პანტნარი,18,11,1.64,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ პაქსაძეების საჯარო სკოლა,აჭარა,ხულო,სოფელი პაქსაძეები,21,12,1.75,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ რიყეთის საჯარო სკოლა,აჭარა,ხულო,სოფელი რიყეთი,97,26,3.73,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ საციხურის საჯარო სკოლა,აჭარა,ხულო,სოფელი საციხური,62,21,2.95,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ სკვანის საჯარო სკოლა,აჭარა,ხულო,სოფელი სკვანა,23,15,1.53,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ სხალთის საჯარო სკოლა,აჭარა,ხულო,სოფელი ყინჩაური,107,25,4.28,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ტაბახმელის საჯარო სკოლა,აჭარა,ხულო,სოფელი ტაბახმელა,12,13,0.92,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ტუნაძეების საჯარო სკოლა,აჭარა,ხულო,სოფელი ტუნაძეები,102,23,4.43,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ უჩხოს საჯარო სკოლა,აჭარა,ხულო,სოფელი უჩხო,105,27,3.89,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ფაჩხის საჯარო სკოლა,აჭარა,ხულო,სოფელი ფაჩხა,90,26,3.46,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ფუშრუკაულის საჯარო სკოლა,აჭარა,ხულო,სოფელი ფუშრუკაული,33,16,2.06,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ქედლების საჯარო სკოლა,აჭარა,ხულო,სოფელი ქედლები,128,32,4.0,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ქვემო თხილვანის საჯარო სკოლა,აჭარა,ხულო,სოფელი ქვემო თხილვანა,59,16,3.69,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ღორჯომის საჯარო სკოლა,აჭარა,ხულო,სოფელი ღორჯომი,215,27,7.96,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ღურტის საჯარო სკოლა,აჭარა,ხულო,სოფელი ღურტა,126,25,5.04,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ყიშლის საჯარო სკოლა,აჭარა,ხულო,სოფელი ყიშლა,70,14,5.0,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ჩაოს საჯარო სკოლა,აჭარა,ხულო,სოფელი ჩაო,35,18,1.94,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ძირკვაძეების საჯარო სკოლა,აჭარა,ხულო,სოფელი ძირკვაძეები,63,19,3.32,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ძმაგულის საჯარო სკოლა,აჭარა,ხულო,სოფელი ძმაგულა,49,20,2.45,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ხულოს მუნიციპალიტეტის სოფელ ხიხაძირის საჯარო სკოლა,აჭარა,ხულო,სოფელი ხიხაძირი,113,27,4.19,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
შპს  ხულოს წმინდა აბუსერიძე ტბელის სახელობის სკოლა,აჭარა,ხულო,"ხულო, აღმაშენებლის ქ. №9",159,26,6.12,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
ა(ა)იპ საქართველოს საპატრიარქოს ლანჩხუთის წმიდა იოანე ნათლისმცემლის სახელობის სასულიერო გიმნაზია,გურია,ლანჩხუთი,"ლანჩხუთი, ჩხაიძის ქ. 4",249,31,8.03,,,,,,,,,,
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ აკეთის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. აკეთი,91,25,3.64,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", ""115958.32""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", ""115958.32""]"
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ აცანის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. აცანა,76,25,3.04,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ ახალსოფლის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. ახალსოფელი,58,17,3.41,რეაბილიტაცია (აღმ),"[""სახელშეკრულებო თანხა"", "" 30,794.70 ""]",,,რეაბილიტაცია,"["" თანხა "", ""53,141.56""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 57,723.54 ""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 57,723.54 ""]"
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ ლესის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. ლესა,137,24,5.71,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ მამათის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. მამათი,68,22,3.09,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", ""40484.36""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", ""40484.36""]"
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ ნიგვზიანის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. ნიგვზიანი,223,28,7.96,რეაბილიტაცია (დას),"[""სახელშეკრულებო თანხა"", "" 21,722.56 ""]",,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", ""52113.53""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", ""52113.53""]"
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ ნიგოითის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. ნიგოითი,144,37,3.89,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", ""171274.22""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", ""171274.22""]"
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ ნინოშვილის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. ნინოშვილი,54,17,3.18,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", ""41682.32""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", ""41682.32""]"
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ სუფსის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. სუფსა,329,42,7.83,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ ქვემო აკეთის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. ქვემო აკეთი,39,21,1.86,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", ""115958.32""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", ""115958.32""]"
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ ქვიანის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. ქვიანი,85,20,4.25,რეაბილიტაცია (დას),"[""სახელშეკრულებო თანხა"", "" 13,246.23 ""]",,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ ღრმაღელის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. ღრმაღელე,129,28,4.61,რეაბილიტაცია (დას),"[""სახელშეკრულებო თანხა"", "" 6,471.71 ""]",,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ შრომისუბნის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. შრომისუბანი,70,21,3.33,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ შუხუთის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. შუხუთი,127,26,4.88,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ ჩიბათის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. ჩიბათი,156,27,5.78,რეაბილიტაცია (დას),"[""სახელშეკრულებო თანხა"", "" 24,002.57 ""]",პროექტირება/მშენებლობა,"[""სახელშეკრულებო თანხა"", "" 1,949,000.00 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ ჩოჩხათის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. ჩოჩხათი,198,39,5.08,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ წყალწმინდის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. წყალწმინდა,161,28,5.75,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ ჭანჭათის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. ჭანჭათი,45,17,2.65,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ ხაჯალიის საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. ხაჯალია,216,25,8.64,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ ჯურუყვეთის №1 საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. ჯურუყვეთი,132,18,7.33,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 40,117.00 ""]",მომავლის კლასი,"["" თანხა "", ""29,128.60""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 26,431.35 ""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 26,431.35 ""]"
სსიპ - ლანჩხუთის მუნიციპალიტეტის სოფელ ჯურუყვეთის №2 საჯარო სკოლა,გურია,ლანჩხუთი,სოფ. ჯურუყვეთი,29,14,2.07,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 125,451.00 ""]",რეაბილიტაცია,"["" თანხა "", ""4,926.30""]",,,,
სსიპ - ქალაქ ლანჩხუთის №1 საჯარო სკოლა,გურია,ლანჩხუთი,"ლანჩხუთი, ჟორდანიას 123",557,60,9.28,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 40,117.00 ""]",მომავლის კლასი,"["" თანხა "", ""29,128.60""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 26,431.35 ""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 26,431.35 ""]"
სსიპ - ქალაქ ლანჩხუთის №2 საჯარო სკოლა,გურია,ლანჩხუთი,"ლანჩხუთი, ბაგრატიონის 10",135,29,4.66,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 125,451.00 ""]",რეაბილიტაცია,"["" თანხა "", ""4,926.30""]",,,,
